filename,R,G,B,skin_tone,season,recommended_palette
warm3.png,198,148,119,warm,Warm Spring,"Peach, Coral, Warm Beige, Light Gold"
warm2.png,191,147,126,warm,Warm Spring,"Peach, Coral, Warm Beige, Light Gold"
warm1.png,197,151,124,warm,Warm Spring,"Peach, Coral, Warm Beige, Light Gold"
warm5.png,164,114,87,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm4.png,167,119,90,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm6.png,177,125,92,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm7.png,115,102,122,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm13.jpeg,119,65,40,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm11.png,149,135,129,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm10.png,138,119,106,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm9.png,137,111,92,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm8.png,174,152,137,warm,Warm Spring,"Peach, Coral, Warm Beige, Light Gold"
warm14.jpg,171,132,110,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
warm12.jpeg,148,106,64,warm,Warm Autumn,"Olive, Burnt Orange, Mustard, Terracotta"
cool9.jpeg,133,111,95,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool19.png,196,170,164,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool10.jpeg,110,84,70,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.37.04.jpeg,164,155,154,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool1.png,180,144,130,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.52.jpeg,146,130,120,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool18.png,196,170,164,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.50 (1).jpeg,103,91,84,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.51 (1).jpeg,185,170,160,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool5.jpeg,227,218,211,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool2.png,189,147,125,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.37.08.jpeg,140,119,107,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.48.jpeg,150,143,133,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.49.jpeg,177,169,165,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.37.06 (1).jpeg,126,120,129,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool4.jpeg,215,191,180,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.37.07 (1).jpeg,132,108,88,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool20.png,196,170,164,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.53.jpeg,140,130,120,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
WhatsApp Image 2025-04-21 at 12.36.57 (2).jpeg,211,200,188,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.37.05.jpeg,226,202,187,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool11.jpeg,164,145,138,cool,Cool Winter,"Jewel Tones, Fuchsia, Icy Blue, Charcoal"
cool8.jpeg,182,157,142,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
cool3.jpeg,171,159,147,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
WhatsApp Image 2025-04-21 at 12.36.50 (2).jpeg,203,190,177,cool,Cool Summer,"Rose Pink, Lavender, Sky Blue, Dusty Lilac"
